timestamp,vehicule_id,lat,lon,vitesse_kmh
2026-08-01T00:00:00,VH-001,47.44198,-1.39471,50
2026-08-01T00:30:00,VH-001,47.36277,-1.5204,70
2026-08-01T01:00:00,VH-001,46.95579,-1.84379,50
2026-08-01T01:30:00,VH-001,47.41016,-1.69403,70
2026-08-01T02:00:00,VH-001,46.95629,-1.40059,50
2026-08-01T02:30:00,VH-001,47.02407,-1.36528,0
2026-08-01T03:00:00,VH-001,47.28756,-1.31457,0
2026-08-01T03:30:00,VH-001,47.21464,-1.71728,0
2026-08-01T04:00:00,VH-001,47.18087,-1.52799,110
2026-08-01T04:30:00,VH-001,47.16615,-1.75912,0
2026-08-01T05:00:00,VH-001,47.25802,-1.42233,0
2026-08-01T05:30:00,VH-001,47.20662,-1.31723,50
2026-08-01T06:00:00,VH-001,47.43945,-1.40234,30
2026-08-01T06:30:00,VH-001,47.05785,-1.57369,30
2026-08-01T07:00:00,VH-001,47.35508,-1.34039,0
2026-08-01T07:30:00,VH-001,47.05827,-1.48897,0
2026-08-01T08:00:00,VH-001,47.12373,-1.34987,0
2026-08-01T08:30:00,VH-001,47.50022,-1.34979,90
2026-08-01T09:00:00,VH-001,47.33856,-1.39278,70
2026-08-01T09:30:00,VH-001,47.39862,-1.27408,50
2026-08-01T10:00:00,VH-001,46.98899,-1.74586,50
2026-08-01T10:30:00,VH-001,47.44617,-1.60503,0
2026-08-01T11:00:00,VH-001,47.14422,-1.50404,70
2026-08-01T11:30:00,VH-001,47.46967,-1.43464,90
2026-08-01T12:00:00,VH-001,47.1439,-1.42335,70
2026-08-01T12:30:00,VH-001,47.17469,-1.46323,70
2026-08-01T13:00:00,VH-001,47.30556,-1.73642,50
2026-08-01T13:30:00,VH-001,47.3466,-1.55374,90
2026-08-01T14:00:00,VH-001,47.12849,-1.55412,110
2026-08-01T14:30:00,VH-001,47.47693,-1.32416,0
2026-08-01T15:00:00,VH-001,47.18135,-1.27909,30
2026-08-01T15:30:00,VH-001,47.15658,-1.34168,50
2026-08-01T16:00:00,VH-001,47.15721,-1.76227,110
2026-08-01T16:30:00,VH-001,47.22596,-1.84956,110
2026-08-01T17:00:00,VH-001,47.5098,-1.60705,90
2026-08-01T17:30:00,VH-001,47.46449,-1.76767,70
2026-08-01T18:00:00,VH-001,47.35283,-1.61752,0
2026-08-01T18:30:00,VH-001,47.26943,-1.51733,70
2026-08-01T19:00:00,VH-001,47.39019,-1.69599,110
2026-08-01T19:30:00,VH-001,47.2226,-1.58954,70
2026-08-01T20:00:00,VH-001,47.43197,-1.7304,0
2026-08-01T20:30:00,VH-001,47.48029,-1.77831,30
2026-08-01T21:00:00,VH-001,47.12895,-1.38438,0
2026-08-01T21:30:00,VH-001,47.17145,-1.60705,90
2026-08-01T22:00:00,VH-001,47.4553,-1.61974,110
2026-08-01T22:30:00,VH-001,47.43886,-1.28883,30
2026-08-01T23:00:00,VH-001,47.40262,-1.69268,0
2026-08-01T23:30:00,VH-001,47.48041,-1.51172,30
2026-08-02T00:00:00,VH-001,47.36372,-1.43826,0
2026-08-02T00:30:00,VH-001,47.36577,-1.69079,30
2026-08-02T01:00:00,VH-001,47.4277,-1.56398,30
2026-08-02T01:30:00,VH-001,47.18978,-1.71335,0
2026-08-02T02:00:00,VH-001,47.19485,-1.34834,110
2026-08-02T02:30:00,VH-001,47.44376,-1.68228,50
